Date,Price
2011-01,45.375
2011-02,45.3795
2011-03,44.9143
2011-04,44.301
2011-05,44.9024
2011-06,44.8109
2011-07,44.396
2011-08,45.3135
2011-09,47.6905
2011-10,49.202
2011-11,50.6785
2011-12,52.3824
2012-01,51.0015
2012-02,49.1812
2012-03,50.3635
2012-04,51.69
2012-05,54.3314
2012-06,55.9424
2012-07,55.4248
2012-08,55.4935
2012-09,54.35
2012-10,53.0995
2012-11,54.7845
2012-12,54.647
2013-01,54.229
2013-02,53.8079
2013-03,54.4229
2013-04,54.3236
2013-05,54.9845
2013-06,58.3835
2013-07,59.7609
2013-08,62.8109
2013-09,63.648
2013-10,61.6059
2013-11,62.5179
2013-12,61.811
2014-01,62.1057
2014-02,62.1642
2014-03,60.9476
2014-04,60.3464
2014-05,59.2843
2014-06,59.7367
2014-07,60.0956
2014-08,60.8738
2014-09,60.8976
2014-10,61.3668
2014-11,61.6828
2014-12,62.7071
2015-01,62.13
2015-02,61.9905
2015-03,62.4805
2015-04,62.6414
2015-05,63.715
2015-06,63.7809
2015-07,63.6045
2015-08,65.0971
2015-09,66.1667
2015-10,65.0262
2015-11,66.1
2015-12,66.5023
2016-01,67.3332
2016-02,68.2395
2016-03,66.8909
2016-04,66.4219
2016-05,66.8895
2016-06,67.2655
2016-07,67.158
2016-08,66.9035
2016-09,66.7138
2016-10,66.7415
2016-11,67.6395
2016-12,67.8052
2017-01,68.0474
2017-02,66.9726
2017-03,65.8009
2017-04,64.536
2017-05,64.4195
2017-06,64.4482
2017-07,64.424
2017-08,63.9683
2017-09,64.4775
2017-10,65.0357
2017-11,64.8435
2017-12,64.2445
2018-01,63.6452
2018-02,64.43
2018-03,65.0455
2018-04,65.6729
2018-05,67.51
2018-06,67.79
2018-07,68.6867
2018-08,69.6317
2018-09,72.2779
2018-10,73.5609
2018-11,71.738
2018-12,70.8331
2019-01,70.71
2019-02,71.1739
2019-03,69.4895
2019-04,69.4068
2019-05,69.7827
2019-06,69.388
2019-07,68.7391
2019-08,71.1891
2019-09,71.311
2019-10,71.0086
2019-11,71.4942
2019-12,71.1567
2020-01,71.279
2020-02,71.5295
2020-03,74.5482
2020-04,76.1682
2020-05,75.6575
2020-06,75.7077
2020-07,74.9286
2020-08,74.5657
2020-09,73.5233
2020-10,73.5648
2020-11,74.2311
2020-12,73.6195
2021-01,73.1106
2021-02,72.8053
2021-03,72.8196
2021-04,74.5186
2021-05,73.2065
2021-06,73.5782
2021-07,74.539
2021-08,74.1155
2021-09,73.6357
2021-10,74.92
2021-11,74.477
2021-12,75.3948
2022-01,74.4075
2022-02,74.9695
2022-03,76.1896
2022-04,76.1719
2022-05,77.2933
2022-06,78.09
2022-07,79.5915
2022-08,79.5065
2022-09,80.2538
2022-10,82.2915
2022-11,81.6805
2022-12,82.4738
2023-01,81.741
2023-02,82.5995
2023-03,82.2665
2023-04,81.9685
2023-05,82.2977
2023-06,82.2252
